,model_name,embedding_size,seq_len,accuracy,precision,recall
0,baseline,5,8,0.43691331148147583,0.5004566311836243,0.06680482625961304
0,baseline,5,11,0.4355723559856415,0.4987228512763977,0.09520906955003738
0,baseline,5,16,0.4148482382297516,0.46674656867980957,0.09496525675058365
0,baseline,25,8,0.3952212631702423,0.4156232476234436,0.2711203098297119
0,baseline,25,11,0.3768133521080017,0.38753223419189453,0.3114714026451111
0,baseline,25,16,0.370839923620224,0.3763365149497986,0.3261002004146576
0,baseline,125,8,0.38449347019195557,0.3871055543422699,0.34694623947143555
0,baseline,125,11,0.39058881998062134,0.3964013159275055,0.35450443625450134
0,baseline,125,16,0.4043642580509186,0.4107917547225952,0.3693770468235016
0,simpleRNN,5,11,0.4193587601184845,0.48549458384513855,0.16932828724384308
0,simpleRNN,25,11,0.37023040652275085,0.37557804584503174,0.31683531403541565
